date,open,close,high,low,volume
1451781842,2840.13,2840.76,2840.86,2840.06,68.246
1451781862,2840.81,2840.35,2840.89,2840.05,71.898
1451781907,2841.7,2840.67,2841.7,2840.66,96.253
1451781916,2840.69,2841.54,2841.68,2840.55,73.365
1451781953,2841.33,2841.5,2841.86,2841.1,55.474
1451781966,2841.73,2842.13,2842.18,2841.46,53.545
1451781999,2841.9,2841.89,2842.29,2841.88,69.468
1451782029,2842.01,2842.12,2842.3,2841.65,62.062
1451782074,2842.01,2841.5,2842.1,2841.09,96.061
1451782108,2840.75,2840.73,2841.0,2840.52,89.921
1451782144,2840.71,2840.67,2840.72,2840.39,84.056
1451782171,2840.27,2839.0,2840.47,2839.0,131.754
1451782194,2839.91,2840.0,2840.26,2839.73,71.697
1451782214,2840.07,2840.07,2840.41,2840.0,58.153
1451782248,2840.0,2840.06,2840.48,2840.0,75.388
1451782268,2840.26,2840.01,2840.48,2840.01,61.253
1451782310,2840.35,2840.41,2840.93,2840.03,87.983
1451782337,2840.37,2840.37,2840.93,2840.05,92.711
1451782355,2840.35,2840.2,2840.47,2840.11,49.083
1451782425,2837.71,2839.45,2840.17,2837.71,86.604
1451782445,2839.55,2839.76,2839.98,2837.71,90.149
1451782459,2839.8,2839.3,2840.0,2839.18,51.421
1451782494,2839.66,2840.0,2840.0,2839.43,70.847
1451782527,2839.76,2840.39,2840.4,2839.73,62.258
1451782567,2840.7,2841.34,2841.34,2840.2,93.725
1451782578,2841.27,2841.2,2841.5,2841.11,68.739
1451782596,2841.18,2841.12,2841.4,2840.2,84.602
1451782623,2840.78,2840.8,2841.32,2840.48,92.911
1451782673,2840.64,2840.25,2840.64,2839.55,64.779
1451782690,2839.65,2840.07,2840.79,2839.65,64.526
1451782705,2840.34,2839.8,2840.79,2839.65,54.723
1451782770,2839.5,2839.39,2839.84,2839.19,78.86
1451782792,2839.27,2839.3,2839.43,2839.0,63.04
1451782819,2839.3,2839.12,2839.5,2839.0,110.304
1451782830,2839.05,2839.18,2839.18,2839.0,164.268
1451782886,2839.81,2839.64,2839.83,2839.45,66.086
1451782926,2840.26,2840.6,2840.82,2840.14,69.303
1451782945,2840.47,2840.49,2840.54,2839.82,65.37
1451782970,2840.34,2839.61,2840.34,2839.5,66.487
1451782990,2839.51,2839.51,2840.19,2839.5,40.802
1451783037,2839.79,2840.36,2840.83,2839.79,70.309
1451783056,2840.42,2839.96,2840.66,2839.59,44.0
1451783081,2839.95,2839.85,2840.04,2839.51,54.658
1451783106,2839.81,2839.58,2839.93,2839.5,49.331
1451783162,2839.51,2839.02,2839.51,2839.0,77.239
1451783177,2839.0,2839.42,2839.58,2839.0,61.147
1451783228,2840.36,2840.74,2840.86,2840.03,68.247
1451783251,2840.96,2841.5,2841.5,2840.74,69.514
1451783275,2841.5,2840.44,2841.5,2840.35,68.236
1451783298,2840.67,2840.62,2840.71,2840.1,55.613
1451783314,2840.3,2841.27,2841.27,2840.16,76.206
1451783339,2840.89,2841.12,2841.27,2840.65,72.398
1451783377,2841.04,2840.98,2841.27,2840.77,79.491
1451783395,2840.94,2840.77,2841.27,2840.77,60.595
1451783424,2840.99,2841.06,2841.23,2840.58,36.18
1451783469,2840.7,2840.8,2841.25,2840.69,124.753
1451783519,2840.45,2839.35,2840.51,2839.3,109.986
1451783538,2839.41,2839.93,2840.23,2839.31,67.027
1451783583,2838.26,2839.22,2839.72,2838.24,81.098
